factor,icir,residual_icir
x_boll_pos_240min,0.10919639074991583,0.1234875978692261
x_ma_ret_8h,,0.12338378460197892
x_intraday_vol_8slot_1,0.10522031774836774,0.12312629141207786
x_ma_ret_12h,,0.12209740261337372
x_klinger_8slot,0.014574081941963236,0.12171890767186133
x_obv_8slot,0.732085825446969,0.12158514489020551
x_liquidity_8slot_1,0.10105431369794045,0.12157322423145682
x_keltner_pos_240min,0.09952392823054007,0.1215057392712441
x_sell_vol,0.25790109051493537,0.12075863701546045
x_vol_ma_ratio_240min_1,0.0029474564026805788,0.1190095243427662
x_mom5_240min,0.008799954057451058,0.11783690965466145
x_boll_pos_8slot,0.020751236414271856,0.11754649785930447
x_snr_240min,0.15140427631228315,0.11684901182432902
x_p_ret_12h_1,0.07082124840227118,0.11610804533800778
x_spread_8h,,0.11498003319598753
x_atr_8slot_1,0.6548603206896225,0.1142276953068008
x_ultosc_8slot_1,0.09650381232866227,0.11356039016746654
x_rsi14_8slot,0.08180862494924075,0.11297501204742709
x_ultosc_240min,0.013151021054426544,0.112822491941909
x_buy_vol_1,0.03309464754528548,0.11050506095923254
x_vol_price_corr_240min,0.04841417978201853,0.107734883266169
x_volume_x,0.2303237608286455,0.10599089903094723
x_overnight_vol_240min_1,0.07778069345548816,0.10436956033026627
x_bvwap_slope_8slot_1,0.12705716645861895,0.10436794261094498
x_price_reversal_240min,0.20462064152104822,0.10408655331209715
x_overnight_return_240min_1,0.07792564877914321,0.10284523421588347
x_gap_ratio_240min_1,0.07792564877914321,0.10284523421588347
x_open,0.8231506250397392,0.1016548313155431
x_ad_line_240min_1,0.7297698551680707,0.10058920058081817
x_skew_240min,0.0654126681272666,0.10043394725024249
x_spread_20h,,0.0995127005200418
x_skew_240min_1,0.07009650972034778,0.09883064544681627
x_sar_diff_8slot,0.12881381327367222,0.09842301369263423
x_donchian_pos_240min_1,0.14743087625456316,0.09731684451689177
x_delta_l2_1,0.03303111534750304,0.0966461953779474
x_liquidity_8slot,0.04013127195989139,0.09589225180754157
x_delta_l2,0.02982896943497435,0.09335426379505171
x_ultosc_240min_1,0.05380989562980856,0.09210156496332172
x_volatility_8slot,0.24528058877920028,0.08887321795481086
x_ad_line_240min,0.7348159451817808,0.08740087534650165
x_price_accel_8slot_1,0.2630727035175482,0.0873280570958316
x_ma_ret_8h_1,,0.08610647354202361
x_realized_vol_8slot,0.24591383482410759,0.08582628807756627
x_open_interest_x_1,0.03557549759276816,0.0851639775286044
x_intraday_return_8slot,0.18165954716808355,0.08335406687829484
x_stoch_k_8slot,0.15470255696962645,0.08281919458821632
x_intraday_vol_8slot,0.3454738209260188,0.08231177788249892
x_spread_12h,,0.0821129386614402
x_break_position_8slot_1,0.15744917599937278,0.08194860655009292
x_open_interest_y_1,0.04844549035245658,0.08130771848301803
x_vol_ratio_8slot,0.010106760730965452,0.08066283959353258
x_parkinson_vol_8slot_1,0.19720308784377674,0.08028806199398968
x_buy_vol_l2,0.03933414559011811,0.07634222790302769
x_return_1_8slot,0.23878522756733683,0.07441963257665936
x_close_pos_ratio_240min_1,0.10139384390615895,0.0743927036424268
x_p_ret_1h,0.2387649297510603,0.07436429566771564
x_log_return_1_8slot,0.23878522756733683,0.07313848778995306
x_ma_ret_6h_1,,0.07263739083581343
x_open_interest_x,0.026280508471165157,0.07172543954337005
x_macd_240min,0.0528557468566587,0.06989793950758016
x_donchian_pos_240min,0.10407017255403983,0.0689579062025591
x_stoch_k_240min,0.11842401723583959,0.06815175746309111
x_parkinson_vol_8slot,0.20750707076769054,0.06793369023925133
x_open_interest_y,0.03141189722985518,0.06663369021369567
x_vwap_slope_240min_1,0.1302538707550093,0.06512401063002851
x_klinger_8slot_1,0.008920367658652487,0.06483562523312181
x_trend1_8slot,0.13386493569467353,0.06452997319064649
x_sell_vol_1,0.043321775880971594,0.06450386259652521
x_price_reversal_8slot,0.06544930199926094,0.06436199171879677
x_trix_240min_1,0.05520740090653736,0.06256521089759576
x_donchian_pos_8slot_1,0.016458935224291912,0.06219245345631618
x_vol_price_corr_240min_1,0.013626791257608175,0.061660093968895616
x_macd_240min_1,0.051585672736798545,0.05906789125164135
x_vol_accel_8slot_1,0.06735181984067992,0.05780573710329127
x_stoch_d_8slot,0.076381864616597,0.057048291450239555
x_bid_ask_proxy_8slot_1,0.25373090629383904,0.05579556957066351
x_williams_r_8slot_1,0.18380376370181842,0.05326038659646132
x_trix_240min,0.050523621584577766,0.052866079418411566
x_mom20_240min,0.0009373968821409884,0.05257644421606094
x_stoch_k_8slot_1,0.07427243811313892,0.05242165347834908
x_rvi_8slot_1,0.07406315817301089,0.05171235492857898
x_volume_x_1,0.038674366885252415,0.049470331988837296
x_bid_ask_proxy_8slot,0.2680785810466479,0.048147515693319556
x_p_ret_2h,0.1784718936602723,0.047861026208379315
x_intraday_return_240min,0.23681056581116666,0.04731493475054891
x_vol_ratio_10_30_8slot,0.16888771410315462,0.04690407900861835
x_macd_signal_240min,0.04556349449497564,0.04020917951850271
x_vol_ratio_10_30_240min,0.11056442149792386,0.03776343731033372
x_ultosc_8slot,0.02231062957332306,0.03745316561062311
x_stoch_d_8slot_1,0.018498589045041716,0.037398326659653
x_sell_vol_l2,0.13686939129221198,0.036884906358626145
x_macd_signal_240min_1,0.041666248480332624,0.035849282905317
x_ad_240min,0.1390572999326937,0.03537002056384062
x_rsi14_240min,0.07340533757668384,0.03502596790559043
x_stoch_k_240min_1,0.10147339914812328,0.03492748494719571
